name,state,region,budget,climate,activity_type,best_season,vibe,rating,description,daily_cost_min,daily_cost_max,famous_for,crowd_level,language,best_food,entry_fee,stay_type,travel_mode,trek_difficulty,wildlife,unesco,honeymoon_suitable,family_suitable,solo_suitable,adventure_level,spiritual_level,photography_score,nearest_airport,nearest_railway,best_month,local_transport,avg_temp_summer,avg_temp_winter,internet_connectivity,medical_facilities,visa_required,currency_tips,off_season_discount,hidden_gem_score,instagram_worthy,night_life,shopping_rating,kid_friendly_score,pet_friendly,accessibility_score,hindi_name
Coorg,Karnataka,South,low,tropical,nature,monsoon,nature,4.5,Misty coffee plantations waterfalls and rich Kodava heritage,1200,3500,Coffee Plantations|Waterfalls|Wildlife,Medium,Kannada|Kodava,Pandi Curry|Kadambuttu|Akki Roti,Free,Homestay|Resort,Car,Easy,Elephant|Gaur|Leopard,No,Yes,Yes,Yes,Low,Low,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,कूर्ग
Hampi,Karnataka,South,low,hot,cultural,winter,cultural,4.7,Surreal boulder-strewn ruins of the magnificent Vijayanagara Empire,600,1800,Ruins|Bouldering|History,Low,Kannada|Telugu,Thali|Banana Chips,40,Guesthouse|Budget Hotel,Bus|Bike,Easy,Monitor Lizard,Yes,Yes,Yes,Yes,Low,Medium,10,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,हम्पी
Udaipur,Rajasthan,North,medium,hot,cultural,winter,romantic,4.8,City of lakes with fairy-tale palaces and stunning Aravalli sunsets,1500,5000,Lakes|Palaces|Boat Rides,High,Hindi|Rajasthani,Dal Baati|Malpua|Rabdi,200,Heritage Hotel|Houseboat,Train|Bus|Flight,,Crocodile|Migratory Birds,No,Yes,Yes,Yes,Low,Low,9,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,उदयपुर
Munnar,Kerala,South,low,mild,nature,winter,nature,4.6,Endless tea estates misty valleys and exotic wildlife in the Western Ghats,1200,3500,Tea Estates|Wildlife|Trekking,Medium,Malayalam,Kerala Meals|Porotta|Beef Fry,Free,Resort|Homestay,Car|Bus,Easy,Nilgiri Tahr|Sambar,No,Yes,Yes,Yes,Low,Low,9,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,मुन्नार
Spiti Valley,Himachal Pradesh,North,medium,cold,adventure,summer,adventure,4.8,Remote high-altitude desert valley with ancient monasteries and stark beauty,1500,4000,Monasteries|Stargazing|Off-road,Low,Hindi|Spitian,Thukpa|Tsampa|Butter Tea,Free,Homestay|Camp,Car|Bike,Challenging,Snow Leopard|Ibex,No,No,Yes,Yes,Very High,High,10,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,स्पीति घाटी
Ooty,Tamil Nadu,South,low,mild,nature,spring,nature,4.4,Queen of hill stations with botanical gardens and Nilgiri toy train,900,2500,Botanical Garden|Toy Train|Tea,High,Tamil|Kannada,Nilgiri Tea|Ooty Chocolate|Varkey,50,Hotel|Resort,Train|Car,Easy,Gaur|Sambar|Nilgiri Marten,No,Yes,Yes,Yes,Low,Low,7,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,ऊटी
Amritsar,Punjab,North,low,mild,cultural,winter,spiritual,4.7,Golden Temple the holiest Sikh shrine surrounded by sacred Amrit Sarovar,700,2000,Golden Temple|Langar|Wagah Border,High,Punjabi|Hindi,Amritsari Kulcha|Lassi|Pinni,Free,Hotel|Budget Stay,Train|Flight,,—,No,Yes,Yes,Yes,Low,Very High,9,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,अमृतसर
Ranthambore,Rajasthan,North,medium,hot,nature,winter,nature,4.6,Prime tiger territory in a dramatic landscape of ruined forts and lakes,2500,7000,Tiger Safari|Fort|Wildlife,Medium,Hindi|Rajasthani,Dal Baati|Thali,Free,Resort|Jungle Lodge,Train|Car,,Bengal Tiger|Crocodile|Leopard,No,Yes,Yes,Yes,Medium,Low,9,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,रणथंभौर
Pondicherry,Tamil Nadu,South,low,tropical,cultural,winter,romantic,4.5,French colonial charm yoga retreats and serene beaches on the Bay of Bengal,900,2800,French Quarter|Beaches|Yoga,Medium,Tamil|French|Telugu,Crepes|Baguette|Seafood,Free,Boutique Hotel|Ashram,Train|Bus,,Sea Turtle,No,Yes,Yes,Yes,Low,Medium,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,पुडुचेरी
Agra,Uttar Pradesh,North,medium,hot,cultural,winter,cultural,4.7,Home to the eternal Taj Mahal and other magnificent Mughal masterpieces,1200,4000,Taj Mahal|Mughal History|Petha,High,Hindi|Urdu,Petha|Mughlai|Kebabs,250,Hotel|Budget Stay,Train|Flight,,—,Yes,Yes,Yes,Yes,Low,Medium,10,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,आगरा
Shimla,Himachal Pradesh,North,low,cold,nature,summer,nature,4.5,Colonial hill station with pine forests scenic ridge and heritage architecture,1000,3000,Mall Road|Snow|Colonial Charm,High,Hindi|Pahari,Siddu|Chha Gosht|Mittha,Free,Hotel|Guesthouse,Train|Car,Easy,Barking Deer|Himalayan Bear,No,Yes,Yes,Yes,Low,Low,7,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,शिमला
Jodhpur,Rajasthan,North,medium,hot,cultural,winter,cultural,4.6,Blue city dominated by the mighty Mehrangarh Fort and vibrant bazaars,1200,3500,Blue City|Mehrangarh Fort|Spices,Medium,Hindi|Rajasthani,Mirchi Bada|Dal Baati|Makhania Lassi,100,Heritage Hotel|Budget Hotel,Train|Bus,,Nilgai|Peacock,No,Yes,Yes,Yes,Low,Low,9,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,जोधपुर
Alleppey,Kerala,South,low,tropical,nature,winter,romantic,4.7,Venice of the East with idyllic houseboat stays and coconut-fringed backwaters,1500,5000,Houseboats|Backwaters|Coir,Medium,Malayalam,Kerala Sadya|Karimeen|Puttu,Free,Houseboat|Resort,Ferry|Car,,Kingfisher|Otter,No,Yes,Yes,Yes,Low,Low,9,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,अलप्पुझा
Kaziranga,Assam,Northeast,medium,tropical,nature,winter,nature,4.7,UNESCO World Heritage home to two-thirds of the worlds one-horned rhinoceroses,2000,5000,Rhinos|Elephant Safari|Biodiversity,Low,Assamese,Khar|Masor Tenga|Pitha,500,Jungle Lodge|Resort,Flight|Car,,One-Horned Rhino|Royal Bengal Tiger|Elephant,Yes,Yes,Yes,Yes,Medium,Low,9,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,काजीरंगा
Khajuraho,Madhya Pradesh,Central,medium,mild,cultural,winter,cultural,4.6,UNESCO temples with exquisite sculptures and medieval architectural genius,1000,3000,Temples|Sculpture|History,Low,Hindi,Poha|Dal Bafla|Thali,500,Hotel|Guesthouse,Train|Car,,—,Yes,Yes,Yes,Yes,Low,Medium,9,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,खजुराहो
Mahabalipuram,Tamil Nadu,South,low,tropical,cultural,winter,cultural,4.5,Ancient Shore Temple and intricate rock-cut sculptures by the Bay of Bengal,700,2000,Shore Temple|Rock Sculptures|Beach,Medium,Tamil,Idli|Dosa|Chettinad Curry,50,Hotel|Beach Resort,Car|Bus,,Olive Ridley Turtle,Yes,Yes,Yes,Yes,Low,Medium,9,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,महाबलीपुरम
Ziro Valley,Arunachal Pradesh,Northeast,low,mild,nature,spring,nature,4.7,UNESCO tentative site with Apatani tribe culture and lush paddy fields,800,2200,Tribal Culture|Paddy Fields|Music Festival,Low,Apatani|Hindi,Apong|Pika Pila|Bamboo Shoot,Free,Homestay|Guesthouse,Flight|Car,Easy,Hornbill|Clouded Leopard,No,No,Yes,Yes,Low,Medium,10,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,ज़ीरो घाटी
Mount Abu,Rajasthan,North,low,mild,nature,summer,nature,4.4,Rajasthans only hill station with Dilwara Jain temples and serene Nakki Lake,900,2500,Jain Temples|Nakki Lake|Sunset Point,Medium,Hindi|Rajasthani,Dal Baati|Kachori,100,Hotel|Resort,Bus|Car,Easy,Sloth Bear|Sambhar,No,Yes,Yes,Yes,Low,High,7,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,माउंट आबू
Puri,Odisha,East,low,tropical,beach,winter,spiritual,4.5,Sacred Jagannath temple town with golden beach and Rath Yatra celebrations,700,2000,Jagannath Temple|Beach|Rath Yatra,High,Odia,Dalma|Rasgulla|Chhena Poda,Free,Hotel|Guesthouse,Train|Bus,,Olive Ridley Turtle,No,Yes,Yes,Yes,Low,Very High,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,पुरी
Pachmarhi,Madhya Pradesh,Central,low,mild,nature,summer,nature,4.4,Queen of Satpura with ancient caves waterfalls and dense forest trails,800,2200,Waterfalls|Caves|Forest Trails,Low,Hindi,Poha|Jalebi|Sabudana Khichdi,100,Hotel|Forest Lodge,Car|Bus,Easy,Tiger|Leopard|Gaur,No,Yes,Yes,Yes,Medium,Low,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,पचमढ़ी
Tawang,Arunachal Pradesh,Northeast,low,cold,cultural,summer,spiritual,4.8,Largest monastery in India perched above clouds at 10000 feet altitude,1000,3000,Monastery|Clouds|Buddhist Culture,Low,Monpa|Hindi,Thukpa|Momos|Apong,Free,Guesthouse|Hotel,Flight|Car,Moderate,Red Panda|Snow Leopard,No,No,Yes,Yes,Medium,Very High,10,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,तवांग
Varkala,Kerala,South,low,tropical,beach,winter,romantic,4.5,Dramatic cliffside beach with mineral springs yoga shacks and Arabian sunset,800,2500,Cliff Beach|Mineral Springs|Yoga,Medium,Malayalam,Seafood|Kerala Thali|Toddy,Free,Guesthouse|Beach Hut,Train|Bus,,Sea Turtle,No,Yes,Yes,Yes,Low,Low,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,वर्कला
Chopta,Uttarakhand,North,low,cold,adventure,summer,nature,4.6,Mini Switzerland of India with Tungnath highest Shiva temple and Chandrashila,700,2000,Trekking|Tungnath Temple|Meadows,Low,Hindi,Thali|Maggi|Local Veg,Free,Camp|Guesthouse,Car|Trek,Moderate,Musk Deer|Snow Leopard,No,No,Yes,Yes,High,High,9,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,चोपता
Pushkar,Rajasthan,North,low,hot,cultural,winter,spiritual,4.5,Holy lake city with the only Brahma temple in India and famous camel fair,700,2000,Brahma Temple|Camel Fair|Holy Lake,Medium,Hindi|Rajasthani,Dal Baati|Malpua|Lassi,Free,Budget Hotel|Guesthouse,Bus|Car,,Camel|Nilgai,No,No,Yes,Yes,Low,Very High,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,पुष्कर
Kovalam,Kerala,South,low,tropical,beach,winter,romantic,4.4,Crescent-shaped lighthouse beach with Ayurvedic resorts and calm waters,900,3000,Lighthouse|Ayurveda|Beach,Medium,Malayalam,Seafood|Kerala Meals,Free,Beach Resort|Guesthouse,Bus|Car,,Sea Turtle,No,Yes,Yes,Yes,Low,Low,7,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,कोवलम
Bikaner,Rajasthan,North,low,hot,cultural,winter,cultural,4.4,Camel country with magnificent Junagarh Fort and famous Rajasthani sweets,700,2000,Junagarh Fort|Camel Breeding|Bikaneri Bhujia,Low,Hindi|Rajasthani,Bikaneri Bhujia|Rasgulla|Dal Baati,100,Heritage Hotel|Budget Hotel,Train|Bus,,Camel|Desert Fox,No,Yes,Yes,Yes,Low,Low,7,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,बीकानेर
Mawsynram,Meghalaya,Northeast,low,tropical,nature,monsoon,nature,4.6,Wettest place on earth with living root bridges and breathtaking waterfalls,800,2200,Root Bridges|Waterfalls|Caves,Low,Khasi|Hindi,Jadoh|Tungrymbai|Dohneiiong,Free,Guesthouse|Homestay,Car,Moderate,Cloud Leopard|Hornbill,No,No,Yes,Yes,Low,Low,9,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,मावसिनराम
Gandikota,Andhra Pradesh,South,low,hot,adventure,winter,nature,4.6,Indias hidden Grand Canyon with the Penna River and ancient Gandikota Fort,500,1500,Grand Canyon|Fort|River,Low,Telugu,Gongura Mutton|Pesarattu|Avakaya,Free,Camp|Budget Hotel,Car|Bus,Easy,Crocodile|Eagle,No,No,Yes,Yes,Medium,Low,9,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,गंडिकोटा
Lansdowne,Uttarakhand,North,low,cold,nature,spring,nature,4.4,Quiet cantonment hill station with oak forests and colonial-era charm,700,2000,Oak Forests|Peace|Colonial,Low,Hindi,Thali|Maggi|Local Food,Free,Hotel|Guesthouse,Car,Easy,Barking Deer|Langur,No,Yes,Yes,Yes,Low,Low,7,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,लैंसडाउन
Mcleod Ganj,Himachal Pradesh,North,low,mild,cultural,spring,spiritual,4.6,Home of the Dalai Lama with Tibetan culture monasteries and Himalayan treks,800,2500,Dalai Lama|Tibetan Culture|Trekking,Medium,Tibetan|Hindi,Momos|Thukpa|Butter Tea,Free,Guesthouse|Budget Hotel,Bus|Car,Easy,Himalayan Monal|Snow Pigeon,No,No,Yes,Yes,Medium,Very High,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,मैक्लोड गंज
Majuli,Assam,Northeast,low,tropical,cultural,winter,cultural,4.5,Worlds largest river island with Vaishnavite monasteries and tribal dance,700,2000,River Island|Vaishnavite Culture|Dance,Low,Assamese|Mising,Khar|Pitha|Rice Beer,Free,Guesthouse|Homestay,Ferry,,River Dolphin|Birds,No,No,Yes,Yes,Low,High,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,माजुली
Mahabaleshwar,Maharashtra,West,low,mild,nature,summer,nature,4.4,Lush strawberry farms panoramic viewpoints and serene Venna Lake,1000,3000,Strawberries|Viewpoints|Boating,High,Marathi,Strawberry Cream|Vada Pav|Bhel,100,Hotel|Resort,Car|Bus,Easy,Barking Deer|Langur,No,Yes,Yes,Yes,Low,Low,7,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,महाबलेश्वर
Lonavala,Maharashtra,West,low,mild,nature,monsoon,nature,4.3,Popular hill escape with misty valleys Bhushi Dam and Khandala viewpoints,800,2500,Waterfalls|Chikki|Bhushi Dam,High,Marathi,Chikki|Vada Pav|Corn,Free,Hotel|Resort,Train|Car,Easy,Leopard|Barking Deer,No,Yes,Yes,Yes,Low,Low,6,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,लोनावला
Jaisalmer,Rajasthan,North,medium,hot,adventure,winter,adventure,4.7,Golden city rising from Thar Desert with camel safaris and Sam sand dunes,1200,4000,Sand Dunes|Camel Safari|Desert Fort,Medium,Hindi|Rajasthani,Ker Sangri|Dal Baati|Ghewar,250,Heritage Hotel|Desert Camp,Train|Car,,Desert Fox|Chinkara|Burrowing Owl,No,Yes,Yes,Yes,Medium,Low,9,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,जैसलमेर
Chikmagalur,Karnataka,South,low,mild,nature,monsoon,nature,4.5,Coffee capital with Mullayanagiri peak Baba Budangiri hills and misty forests,900,2800,Coffee|Trekking|Waterfalls,Low,Kannada,Bisi Bele Bath|Filter Coffee|Akki Roti,Free,Homestay|Resort,Car,Moderate,Elephant|Gaur|Leopard,No,Yes,Yes,Yes,Medium,Low,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,चिकमगलूर
Ellora,Maharashtra,West,low,mild,cultural,winter,cultural,4.7,UNESCO rock-cut cave temples spanning Hindu Buddhist and Jain faiths,700,2000,Cave Temples|UNESCO|Rock Art,Low,Marathi|Hindi,Pithla Bhakri|Vada Pav|Zunka,40,Hotel|Guesthouse,Car|Bus,,—,Yes,Yes,Yes,Yes,Low,High,10,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,एलोरा
Kumarakom,Kerala,South,medium,tropical,nature,winter,romantic,4.6,Lakeside village on Vembanad Lake with birds butterfly gardens and luxury resorts,2000,7000,Bird Sanctuary|Backwaters|Luxury,Low,Malayalam,Kerala Sadya|Seafood|Karimeen,Free,Luxury Resort|Houseboat,Car|Ferry,,Siberian Crane|Kingfisher|Darter,No,Yes,Yes,Yes,Low,Low,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,कुमारकोम
Cherrapunji,Meghalaya,Northeast,low,tropical,nature,monsoon,nature,4.6,Land of clouds and rain with stunning viewpoints and living root bridges,800,2200,Root Bridges|Waterfalls|Clouds,Low,Khasi|Hindi,Jadoh|Dohneiiong|Rice Beer,Free,Guesthouse|Homestay,Car,Moderate,Clouded Leopard|Hornbill,No,No,Yes,Yes,Low,Low,9,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,चेरापूंजी
Orchha,Madhya Pradesh,Central,low,mild,cultural,winter,cultural,4.5,Medieval town frozen in time with magnificent cenotaphs palaces and temples,600,1800,Cenotaphs|Palaces|River Ghats,Low,Hindi,Dal Baati|Thali|Sabudana Khichdi,Free,Heritage Hotel|Budget Hotel,Train|Car,,Vulture|Crocodile,No,Yes,Yes,Yes,Low,Medium,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,ओरछा
Auroville,Tamil Nadu,South,low,tropical,cultural,winter,spiritual,4.4,Experimental universal township centered around Matrimandir and sustainability,700,2000,Matrimandir|Sustainability|Meditation,Low,Tamil|French|English,Organic Food|French Bakery|Salad,Free,Ashram|Guesthouse,Car|Bike,,—,No,No,Yes,Yes,Low,High,7,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,ऑरोविल
Nainital,Uttarakhand,North,low,mild,nature,summer,nature,4.5,Emerald lake town in the Kumaon Himalayas with boating and snow views,1000,3000,Naini Lake|Boating|Snow,High,Hindi|Kumaoni,Bal Mithai|Singori|Thali,Free,Hotel|Guesthouse,Bus|Car,Easy,Himalayan Bear|Leopard,No,Yes,Yes,Yes,Low,Low,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,नैनीताल
Dhanushkodi,Tamil Nadu,South,low,tropical,nature,winter,nature,4.5,Hauntingly beautiful ghost town at Indias southern tip where two seas meet,500,1500,Ghost Town|Rameswaram|Two Seas,Low,Tamil,Seafood|Idli|Dosa,Free,Budget Hotel,Car|Bus,Easy,Dolphin|Sea Turtle,No,No,Yes,Yes,Low,Medium,9,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,धनुषकोडी
Sandakphu,West Bengal,East,low,cold,adventure,spring,adventure,4.7,Highest peak in West Bengal with the iconic Sleeping Buddha Himalayan view,900,2500,Sleeping Buddha View|Trekking|Rhododendrons,Low,Bengali|Nepali,Momos|Thukpa|Noodles,Free,Trek Hut|Camp,Trek Only,Very Challenging,Red Panda|Snow Leopard,No,No,Yes,Yes,Very High,Low,10,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,संदकफू
Munsiyari,Uttarakhand,North,low,cold,nature,summer,nature,4.6,Little Kashmir with Panchachuli peaks tribal culture and pristine meadows,800,2200,Panchachuli Peaks|Meadows|Tribal Culture,Low,Hindi|Kumaoni,Thali|Bal Mithai|Aloo Ke Gutke,Free,Guesthouse|Homestay,Car,Moderate,Musk Deer|Snow Leopard,No,No,Yes,Yes,Medium,Low,9,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,मुनस्यारी
Tarkarli,Maharashtra,West,low,tropical,beach,winter,nature,4.5,Maharashtras hidden gem with crystal clear waters and Sindhudurg Fort,800,2500,Scuba Diving|Sindhudurg Fort|Clear Waters,Low,Marathi|Konkani,Malvani Fish Curry|Solkadhi|Kokam,200,Beach Hut|Budget Hotel,Bus|Car,,Dolphin|Sea Turtle,No,Yes,Yes,Yes,Medium,Low,8,—,—,October,Auto|Bus|Car,30,18,Medium,Basic,No,Cash preferred,25%,6,8,Low,6,7,No,5,तारकरली
